Stay_ID,Check_In_Date,Customer_Type,Room_Type,Booking_Channel,Stay_Duration,Check_In_Rating,Room_Rating,Cleanliness_Rating,Staff_Service_Rating,Food_Beverage_Rating,Complaint_Category,Complaint_Resolved,Resolution_Time_Hours,Overall_Satisfaction,NPS_Category,Satisfaction_Category,Complaint_Flag,Returning_Customer_Flag,Low_Satisfaction_Flag,Month
STY-1106,2026-03-01,Returning,Standard,OTA,2,5,2,5,4,5,Room Maintenance,Yes,5.3,4,Passive,Satisfied,Yes,1,0,Mar 2026
STY-1168,2026-03-02,New,Standard,OTA,1,4,4,4,4,1,Food Quality,No,13.5,2,Detractor,Dissatisfied,Yes,0,1,Mar 2026
STY-1018,2026-03-02,Returning,Deluxe,Travel Agent,4,4,4,3,3,4,Room Cleanliness,No,8.1,2,Detractor,Dissatisfied,Yes,1,1,Mar 2026
STY-1056,2026-03-02,New,Standard,Travel Agent,2,3,4,4,3,4,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,0,0,Mar 2026
STY-1214,2026-03-02,Returning,Standard,OTA,2,3,3,3,5,4,Slow Complaint Resolution,Yes,5.2,3,Detractor,Neutral,Yes,1,0,Mar 2026
STY-1191,2026-03-03,New,Standard,OTA,2,4,4,5,4,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Mar 2026
STY-1147,2026-03-03,Returning,Suite,OTA,3,4,3,5,4,4,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,1,0,Mar 2026
STY-1272,2026-03-04,New,Standard,Direct Website,3,4,4,3,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Mar 2026
STY-1060,2026-03-04,New,Standard,Direct Website,4,4,3,5,4,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Mar 2026
STY-1107,2026-03-05,Returning,Deluxe,OTA,3,4,4,5,5,3,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Mar 2026
STY-1090,2026-03-05,New,Standard,OTA,3,4,4,3,5,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Mar 2026
STY-1278,2026-03-06,New,Standard,Walk-in,3,5,5,5,5,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Mar 2026
STY-1208,2026-03-07,New,Standard,OTA,4,4,5,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Mar 2026
